[2026-03-23 11:36:17] Exception: Illuminate\View\ViewException - Vite manifest not found at: C:\xampp\htdocs\serviceflow\build/manifest.json (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) | GET http://localhost/serviceflow/login
[2026-03-23 11:54:38] Exception: Illuminate\Database\QueryException - SQLSTATE[42S02]: Base table or view not found: 1146 Table 'serviceflow.sessions' doesn't exist (Connection: mysql, SQL: select * from `sessions` where `id` = ea3WsfEBY1nDXPI23In403GbP22QQbQomcrUMRom limit 1) | POST http://localhost/serviceflow/install/database/test
[2026-03-23 11:54:51] Exception: Illuminate\Database\QueryException - SQLSTATE[42S02]: Base table or view not found: 1146 Table 'serviceflow.sessions' doesn't exist (Connection: mysql, SQL: select * from `sessions` where `id` = ea3WsfEBY1nDXPI23In403GbP22QQbQomcrUMRom limit 1) | POST http://localhost/serviceflow/install/database/test
[2026-03-23 11:55:35] Exception: Illuminate\Database\QueryException - SQLSTATE[42S02]: Base table or view not found: 1146 Table 'serviceflow.sessions' doesn't exist (Connection: mysql, SQL: select * from `sessions` where `id` = ea3WsfEBY1nDXPI23In403GbP22QQbQomcrUMRom limit 1) | POST http://localhost/serviceflow/install/database/test
[2026-03-23 12:05:05] Exception: Illuminate\View\ViewException - Unable to locate file in Vite manifest: resources/css/app.css. (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) | GET http://localhost/serviceflow/login
[2026-03-23 12:07:15] Exception: Illuminate\View\ViewException - Unable to locate file in Vite manifest: resources/css/app.css. (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) | GET http://localhost/serviceflow/login
[2026-03-23 12:08:45] Exception: Illuminate\View\ViewException - Unable to locate file in Vite manifest: resources/css/app.css. (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) | GET http://localhost/serviceflow/login
[2026-03-23 12:57:41] Exception: Illuminate\View\ViewException - Unable to locate file in Vite manifest: resources/css/app.css. (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) | GET http://localhost/serviceflow/login
[2026-03-23 12:57:46] Exception: Illuminate\View\ViewException - Unable to locate file in Vite manifest: resources/css/app.css. (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) | GET http://localhost/serviceflow/login
[2026-03-23 12:57:51] Exception: Illuminate\View\ViewException - Unable to locate file in Vite manifest: resources/css/app.css. (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) | GET http://localhost/serviceflow/login
[2026-03-23 12:57:55] Exception: Illuminate\View\ViewException - Unable to locate file in Vite manifest: resources/css/app.css. (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) (View: C:\xampp\htdocs\serviceflow\resources\views\components\layouts\auth.blade.php) | GET http://localhost/serviceflow/login
[2026-03-23 13:07:17] Exception: Psy\Exception\ParseErrorException - PHP Parse error: Syntax error, unexpected T_NS_SEPARATOR, expecting T_VARIABLE on line 1 | GET http://localhost/serviceflow
[2026-03-23 15:12:34] Exception: Illuminate\View\ViewException - Route [knowledge.create] not defined. (View: C:\xampp\htdocs\serviceflow\resources\views\agent\knowledge\index.blade.php) | GET http://localhost/serviceflow/agent/knowledge
[2026-03-23 15:19:27] Exception: Illuminate\View\ViewException - Route [knowledge.create] not defined. (View: C:\xampp\htdocs\serviceflow\resources\views\agent\knowledge\index.blade.php) | GET http://localhost/serviceflow/agent/knowledge
[2026-03-23 15:20:00] Exception: Illuminate\View\ViewException - Route [knowledge.create] not defined. (View: C:\xampp\htdocs\serviceflow\resources\views\agent\knowledge\index.blade.php) | GET http://localhost/serviceflow/agent/knowledge
[2026-03-23 15:20:14] Exception: Illuminate\View\ViewException - Route [knowledge.create] not defined. (View: C:\xampp\htdocs\serviceflow\resources\views\agent\knowledge\index.blade.php) | GET http://localhost/serviceflow/agent/knowledge
[2026-03-23 15:20:23] Exception: Illuminate\View\ViewException - Route [knowledge.create] not defined. (View: C:\xampp\htdocs\serviceflow\resources\views\agent\knowledge\index.blade.php) | GET http://localhost/serviceflow/agent/knowledge
[2026-03-23 15:48:07] Exception: Psy\Exception\ParseErrorException - PHP Parse error: Syntax error, unexpected '=' on line 1 | GET http://localhost/serviceflow
[2026-03-23 16:02:10] Exception: Psy\Exception\ParseErrorException - PHP Parse error: Syntax error, unexpected '=' on line 2 | GET http://localhost/serviceflow
[2026-03-23 16:02:54] Exception: Psy\Exception\ParseErrorException - PHP Parse error: Syntax error, unexpected '=' on line 1 | GET http://localhost/serviceflow
